 TimeStamp manip.manip_measure_out_port tt.outport_grip.position.x tt.outport_grip.position.y tt.outport_grip.position.z tt.outport_grip.orientation.x tt.outport_grip.orientation.y tt.outport_grip.orientation.z tt.outport_grip.orientation.w jr3.ForceTorqueOutputPort.forces.0 jr3.ForceTorqueOutputPort.forces.1 jr3.ForceTorqueOutputPort.forces.2 jr3.ForceTorqueOutputPort.torques.0 jr3.ForceTorqueOutputPort.torques.1 jr3.ForceTorqueOutputPort.torques.2 test.cart_pose_loop_out_port.p.X test.cart_pose_loop_out_port.p.Y test.cart_pose_loop_out_port.p.Z test.cart_pose_loop_out_port.M.X_x test.cart_pose_loop_out_port.M.X_y test.cart_pose_loop_out_port.M.X_z test.cart_pose_loop_out_port.M.Y_x test.cart_pose_loop_out_port.M.Y_y test.cart_pose_loop_out_port.M.Y_z test.cart_pose_loop_out_port.M.Z_x test.cart_pose_loop_out_port.M.Z_y test.cart_pose_loop_out_port.M.Z_z stiff.cart_stiffdamp_out_port.stiffness.0 stiff.cart_stiffdamp_out_port.stiffness.1 stiff.cart_stiffdamp_out_port.stiffness.2 stiff.cart_stiffdamp_out_port.stiffness.3 stiff.cart_stiffdamp_out_port.stiffness.4 stiff.cart_stiffdamp_out_port.stiffness.5 stiff.cart_stiffdamp_out_port.damping.0 stiff.cart_stiffdamp_out_port.damping.1 stiff.cart_stiffdamp_out_port.damping.2 stiff.cart_stiffdamp_out_port.damping.3 stiff.cart_stiffdamp_out_port.damping.4 stiff.cart_stiffdamp_out_port.damping.5
 8.8e-07 0.0058749   -0.247335 0.105642 -0.292881  0.183466 0.543857 -0.797864 -0.184317   -1.45691 -1.60962 -1.83289  -0.370789 2.62115 -0.697266   -0.507112 -0.0632652 0.654464  0.816882 0.280468 -0.504026 0.17343 -0.952817 -0.249121 -0.550115 0.11609 -0.82698   2308.96 2308.96 2308.96 138.537 138.537 138.537  0 0 0 0 0 0 
 0.010658 0.0058749   -0.247335 0.105642 -0.292881  0.183466 0.543857 -0.797864 -0.184317   -1.38123 -1.5249 -1.45691  -0.370789 2.62115 -0.697266   -0.507112 -0.0632652 0.654464  0.816881 0.280469 -0.504027 0.17343 -0.952817 -0.249122 -0.550116 0.11609 -0.82698   2308.96 2308.96 2308.96 138.537 138.537 138.537  0 0 0 0 0 0 
 0.0206651 0.0058749   -0.247335 0.105642 -0.292881  0.183466 0.543857 -0.797864 -0.184317   -1.38123 -1.60962 -1.45691  -0.395508 2.5213 -0.697266   -0.507112 -0.0632652 0.654464  0.816879 0.280469 -0.50403 0.173429 -0.952817 -0.249123 -0.550119 0.11609 -0.826978   2308.96 2308.96 2308.96 138.537 138.537 138.537  0 0 0 0 0 0 
 0.0306645 0.0058749   -0.247335 0.105642 -0.292881  0.183466 0.543857 -0.797864 -0.184317   -1.38123 -1.60962 -1.45691  -0.32135 2.39648 -0.615234   -0.507112 -0.0632643 0.654465  0.816878 0.280468 -0.504032 0.173427 -0.952817 -0.249122 -0.550121 0.11609 -0.826976   2308.96 2308.96 2308.96 138.537 138.537 138.537  0 0 0 0 0 0 
 0.0406596 0.0058749   -0.247335 0.105642 -0.292881  0.183466 0.543857 -0.797864 -0.184317   -1.22986 -1.5249 -1.45691  -0.271912 2.59619 -0.615234   -0.507112 -0.0632643 0.654465  0.816878 0.280468 -0.504032 0.173427 -0.952817 -0.249122 -0.550121 0.11609 -0.826976   2308.96 2308.96 2308.96 138.537 138.537 138.537  0 0 0 0 0 0 
 0.0506762 0.00765735   -0.247263 0.088148 -0.288533  0.187962 0.511529 -0.816034 -0.192606   -1.38123 -1.5249 -1.26892  -0.296631 2.39648 -0.615234   -0.507112 -0.0632643 0.654465  0.816878 0.280468 -0.504032 0.173427 -0.952817 -0.249122 -0.550121 0.11609 -0.826976   2170.45 2170.45 2170.45 130.227 130.227 130.227  0 0 0 0 0 0 
 0.06067 0.00765735   -0.247263 0.088148 -0.288533  0.187962 0.511529 -0.816034 -0.192606   -1.40015 -1.5249 -1.08093  -0.0741577 2.59619 -0.615234   -0.507112 -0.0632643 0.654465  0.816878 0.280468 -0.504032 0.173427 -0.952817 -0.249122 -0.550121 0.11609 -0.826976   2170.45 2170.45 2170.45 130.227 130.227 130.227  0 0 0 0 0 0 
 0.0707039 0.00765735   -0.247263 0.088148 -0.288533  0.187962 0.511529 -0.816034 -0.192606   -1.40015 -1.41901 -1.26892  -0.0247192 2.37152 -0.697266   -0.507112 -0.0632643 0.654465  0.816878 0.280468 -0.504032 0.173427 -0.952817 -0.249122 -0.550121 0.11609 -0.826976   2170.45 2170.45 2170.45 130.227 130.227 130.227  0 0 0 0 0 0 
 0.0806819 0.00765735   -0.247263 0.088148 -0.288533  0.187962 0.511529 -0.816034 -0.192606   -1.32446 -1.50372 -1.45691  -0.123596 2.39648 -0.779297   -0.507112 -0.0632649 0.654465  0.816877 0.280469 -0.504033 0.173428 -0.952817 -0.249123 -0.550123 0.116089 -0.826975   2170.45 2170.45 2170.45 130.227 130.227 130.227  0 0 0 0 0 0 
 0.0906474 0.00765735   -0.247263 0.088148 -0.288533  0.187962 0.511529 -0.816034 -0.192606   -1.1731 -1.41901 -1.08093  0.0741577 2.27167 -0.779297   -0.507112 -0.0632668 0.654465  0.816876 0.280472 -0.504033 0.173432 -0.952817 -0.249123 -0.550123 0.116087 -0.826975   2170.45 2170.45 2170.45 130.227 130.227 130.227  0 0 0 0 0 0 
