 TimeStamp manip.manip_measure_out_port tt.outport_grip.position.x tt.outport_grip.position.y tt.outport_grip.position.z tt.outport_grip.orientation.x tt.outport_grip.orientation.y tt.outport_grip.orientation.z tt.outport_grip.orientation.w jr3.ForceTorqueOutputPort.forces.0 jr3.ForceTorqueOutputPort.forces.1 jr3.ForceTorqueOutputPort.forces.2 jr3.ForceTorqueOutputPort.torques.0 jr3.ForceTorqueOutputPort.torques.1 jr3.ForceTorqueOutputPort.torques.2 test.cart_pose_loop_out_port.p.X test.cart_pose_loop_out_port.p.Y test.cart_pose_loop_out_port.p.Z test.cart_pose_loop_out_port.M.X_x test.cart_pose_loop_out_port.M.X_y test.cart_pose_loop_out_port.M.X_z test.cart_pose_loop_out_port.M.Y_x test.cart_pose_loop_out_port.M.Y_y test.cart_pose_loop_out_port.M.Y_z test.cart_pose_loop_out_port.M.Z_x test.cart_pose_loop_out_port.M.Z_y test.cart_pose_loop_out_port.M.Z_z stiff.cart_stiffdamp_out_port.stiffness.0 stiff.cart_stiffdamp_out_port.stiffness.1 stiff.cart_stiffdamp_out_port.stiffness.2 stiff.cart_stiffdamp_out_port.stiffness.3 stiff.cart_stiffdamp_out_port.stiffness.4 stiff.cart_stiffdamp_out_port.stiffness.5 stiff.cart_stiffdamp_out_port.damping.0 stiff.cart_stiffdamp_out_port.damping.1 stiff.cart_stiffdamp_out_port.damping.2 stiff.cart_stiffdamp_out_port.damping.3 stiff.cart_stiffdamp_out_port.damping.4 stiff.cart_stiffdamp_out_port.damping.5
 7.68e-07 0.0312783   -0.345812 0.148511 -0.0987737  0.910178 -0.105632 -0.25635 0.307739   -0.132446 0.847168 -0.657959  1.13708 1.57269 -0.18457   -0.563912 -0.117808 0.621421  0.75792 0.506126 -0.411574 0.460386 -0.861983 -0.212201 -0.46217 -0.0286521 -0.886328   3573.21 3573.21 3573.21 214.392 214.392 214.392  0 0 0 0 0 0 
 0.0102764 0.0312783   -0.345812 0.148511 -0.0987737  0.910178 -0.105632 -0.25635 0.307739   0.0189209 0.78363 -0.845947  1.08765 1.27313 -0.266602   -0.563897 -0.117878 0.621424  0.757854 0.506221 -0.41158 0.460493 -0.861926 -0.212203 -0.462173 -0.0287104 -0.886325   3573.21 3573.21 3573.21 214.392 214.392 214.392  0 0 0 0 0 0 
 0.0200299 0.0312783   -0.345812 0.148511 -0.0987737  0.910178 -0.105632 -0.25635 0.307739   -0.0378418 0.614197 -0.845947  1.08765 1.17328 -0.266602   -0.563884 -0.117945 0.62143  0.757787 0.506313 -0.41159 0.460593 -0.86187 -0.212212 -0.462182 -0.0287644 -0.886318   3573.21 3573.21 3573.21 214.392 214.392 214.392  0 0 0 0 0 0 
 0.0300159 0.0312783   -0.345812 0.148511 -0.0987737  0.910178 -0.105632 -0.25635 0.307739   0.170288 0.78363 -0.469971  1.13708 0.973572 -0.266602   -0.563874 -0.118001 0.621441  0.757724 0.506391 -0.41161 0.460676 -0.861823 -0.212224 -0.462203 -0.0288116 -0.886306   3573.21 3573.21 3573.21 214.392 214.392 214.392  0 0 0 0 0 0 
 0.0400534 0.0312783   -0.345812 0.148511 -0.0987737  0.910178 -0.105632 -0.25635 0.307739   0.0189209 0.868347 -1.03394  1.18652 1.17328 -0.348633   -0.563867 -0.118048 0.621455  0.757667 0.506458 -0.411632 0.460744 -0.861782 -0.212243 -0.462229 -0.0288473 -0.886291   3573.21 3573.21 3573.21 214.392 214.392 214.392  0 0 0 0 0 0 
 0.0500516 0.0312783   -0.345812 0.148511 -0.0987737  0.910178 -0.105632 -0.25635 0.307739   0.0189209 0.868347 -0.469971  1.2854 1.24817 -0.266602   -0.563861 -0.118089 0.621469  0.757616 0.506515 -0.411657 0.460801 -0.861747 -0.21226 -0.462257 -0.0288807 -0.886276   3573.21 3573.21 3573.21 214.392 214.392 214.392  0 0 0 0 0 0 
 0.0600739 0.0312783   -0.345812 0.148511 -0.0987737  0.910178 -0.105632 -0.25635 0.307739   0.0189209 0.78363 -0.845947  1.18652 1.17328 -0.266602   -0.563856 -0.118124 0.621481  0.757571 0.506566 -0.411677 0.460852 -0.861717 -0.212273 -0.462279 -0.0289103 -0.886263   3573.21 3573.21 3573.21 214.392 214.392 214.392  0 0 0 0 0 0 
 0.0700602 0.0310717   -0.342844 0.150853 -0.0912985  0.90851 -0.107224 -0.26284 0.30664   0.0189209 0.78363 -0.845947  1.18652 1.07343 -0.348633   -0.56385 -0.118162 0.621491  0.757526 0.506618 -0.411695 0.460906 -0.861685 -0.212285 -0.462299 -0.0289412 -0.886252   3517.54 3517.54 3517.54 211.052 211.052 211.052  0 0 0 0 0 0 
 0.0800628 0.0310717   -0.342844 0.150853 -0.0912985  0.90851 -0.107224 -0.26284 0.30664   -0.0378418 0.614197 -0.657959  0.98877 1.17328 -0.348633   -0.563844 -0.118198 0.621503  0.757481 0.506669 -0.411715 0.460958 -0.861654 -0.212298 -0.462321 -0.0289719 -0.886239   3517.54 3517.54 3517.54 211.052 211.052 211.052  0 0 0 0 0 0 
 0.0900588 0.0310717   -0.342844 0.150853 -0.0912985  0.90851 -0.107224 -0.26284 0.30664   -0.189209 0.593018 -1.03394  0.914612 1.39795 -0.348633   -0.563839 -0.118228 0.621514  0.757442 0.506711 -0.411734 0.461001 -0.861628 -0.212311 -0.462342 -0.0289965 -0.886228   3517.54 3517.54 3517.54 211.052 211.052 211.052  0 0 0 0 0 0 
 0.100062 0.0310717   -0.342844 0.150853 -0.0912985  0.90851 -0.107224 -0.26284 0.30664   -0.264893 0.508301 -0.610962  0.815735 1.39795 -0.348633   -0.563837 -0.118251 0.621527  0.757407 0.506745 -0.411757 0.461032 -0.861607 -0.212325 -0.462368 -0.0290166 -0.886213   3517.54 3517.54 3517.54 211.052 211.052 211.052  0 0 0 0 0 0 
