 TimeStamp manip.manip_measure_out_port tt.outport_grip.position.x tt.outport_grip.position.y tt.outport_grip.position.z tt.outport_grip.orientation.x tt.outport_grip.orientation.y tt.outport_grip.orientation.z tt.outport_grip.orientation.w jr3.ForceTorqueOutputPort.forces.0 jr3.ForceTorqueOutputPort.forces.1 jr3.ForceTorqueOutputPort.forces.2 jr3.ForceTorqueOutputPort.torques.0 jr3.ForceTorqueOutputPort.torques.1 jr3.ForceTorqueOutputPort.torques.2 test.cart_pose_loop_out_port.p.X test.cart_pose_loop_out_port.p.Y test.cart_pose_loop_out_port.p.Z test.cart_pose_loop_out_port.M.X_x test.cart_pose_loop_out_port.M.X_y test.cart_pose_loop_out_port.M.X_z test.cart_pose_loop_out_port.M.Y_x test.cart_pose_loop_out_port.M.Y_y test.cart_pose_loop_out_port.M.Y_z test.cart_pose_loop_out_port.M.Z_x test.cart_pose_loop_out_port.M.Z_y test.cart_pose_loop_out_port.M.Z_z stiff.cart_stiffdamp_out_port.stiffness.0 stiff.cart_stiffdamp_out_port.stiffness.1 stiff.cart_stiffdamp_out_port.stiffness.2 stiff.cart_stiffdamp_out_port.stiffness.3 stiff.cart_stiffdamp_out_port.stiffness.4 stiff.cart_stiffdamp_out_port.stiffness.5 stiff.cart_stiffdamp_out_port.damping.0 stiff.cart_stiffdamp_out_port.damping.1 stiff.cart_stiffdamp_out_port.damping.2 stiff.cart_stiffdamp_out_port.damping.3 stiff.cart_stiffdamp_out_port.damping.4 stiff.cart_stiffdamp_out_port.damping.5
 0.107984 0.0305525   -0.256813 -0.230688 0.185458  -0.174373 0.592925 -0.715881 0.324882   0.567627 -0.381226 -1.22192  -0.148315 -0.22467 -0.102539   -0.572463 -0.163077 0.647026  0.684227 0.581474 -0.440138 0.500535 -0.813377 -0.296448 -0.530375 -0.0174666 -0.847583   2277.66 2277.66 2277.66 136.66 136.66 136.66  0 0 0 0 0 0 
 0.117835 0.0305525   -0.256813 -0.230688 0.185458  -0.174373 0.592925 -0.715881 0.324882   0.794678 -0.27533 -0.845947  -0.0741577 -0.549194 -0.18457   -0.572465 -0.16306 0.647061  0.684213 0.581459 -0.44018 0.500478 -0.813389 -0.296512 -0.530447 -0.0174225 -0.847539   2277.66 2277.66 2277.66 136.66 136.66 136.66  0 0 0 0 0 0 
 0.127842 0.0305525   -0.256813 -0.230688 0.185458  -0.174373 0.592925 -0.715881 0.324882   0.775757 -0.105896 -1.03394  0.123596 -0.549194 -0.102539   -0.572466 -0.163052 0.6471  0.684181 0.581455 -0.440234 0.500437 -0.813392 -0.296574 -0.530527 -0.0173987 -0.847489   2277.66 2277.66 2277.66 136.66 136.66 136.66  0 0 0 0 0 0 
 0.13786 0.0305525   -0.256813 -0.230688 0.185458  -0.174373 0.592925 -0.715881 0.324882   0.605469 -0.0211792 -1.26892  0.32135 -0.474304 -0.102539   -0.572466 -0.163056 0.647156  0.684118 0.581467 -0.440317 0.500406 -0.813384 -0.296647 -0.530637 -0.0173954 -0.847421   2277.66 2277.66 2277.66 136.66 136.66 136.66  0 0 0 0 0 0 
 0.147833 0.0305525   -0.256813 -0.230688 0.185458  -0.174373 0.592925 -0.715881 0.324882   0.510864 0.232971 -0.704956  0.543823 -0.399414 -0.102539   -0.572466 -0.163073 0.64723  0.684018 0.581498 -0.440432 0.500388 -0.813362 -0.29674 -0.530784 -0.0174111 -0.847328   2277.66 2277.66 2277.66 136.66 136.66 136.66  0 0 0 0 0 0 
 0.157833 0.0305525   -0.256813 -0.230688 0.185458  -0.174373 0.592925 -0.715881 0.324882   0.529785 0.148254 -1.26892  0.444946 -0.399414 -0.102539   -0.572466 -0.163105 0.647322  0.683879 0.58155 -0.440578 0.500386 -0.813323 -0.296849 -0.530965 -0.0174501 -0.847214   2277.66 2277.66 2277.66 136.66 136.66 136.66  0 0 0 0 0 0 
 0.167831 0.0305525   -0.256813 -0.230688 0.185458  -0.174373 0.592925 -0.715881 0.324882   0.454102 0.296509 -1.5979  0.494385 -0.299561 -0.18457   -0.572465 -0.163146 0.647431  0.68371 0.581617 -0.440753 0.50039 -0.813275 -0.296975 -0.531178 -0.0175037 -0.847079   2277.66 2277.66 2277.66 136.66 136.66 136.66  0 0 0 0 0 0 
 0.177834 0.0305525   -0.256813 -0.230688 0.185458  -0.174373 0.592925 -0.715881 0.324882   0.151367 0.211792 -1.5979  0.296631 0.0249634 -0.102539   -0.572464 -0.163193 0.647548  0.683525 0.58169 -0.440941 0.500397 -0.813221 -0.29711 -0.531409 -0.0175636 -0.846933   2277.66 2277.66 2277.66 136.66 136.66 136.66  0 0 0 0 0 0 
 0.187827 0.0305525   -0.256813 -0.230688 0.185458  -0.174373 0.592925 -0.715881 0.324882   -0.0756836 0.190613 -1.36292  0.247192 0.124817 -0.0205078   -0.572463 -0.163245 0.647675  0.683324 0.581772 -0.441145 0.500408 -0.813161 -0.297256 -0.531657 -0.0176302 -0.846776   2277.66 2277.66 2277.66 136.66 136.66 136.66  0 0 0 0 0 0 
 0.197839 0.0293215   -0.253675 -0.204987 0.210854  -0.261293 0.723269 0.631438 -0.0994695   0 0.27533 -0.79895  0.247192 0.324524 -0.102539   -0.572459 -0.163304 0.647806  0.683111 0.581862 -0.441357 0.500427 -0.813094 -0.297406 -0.531914 -0.0177055 -0.846613   2373.97 2373.97 2373.97 142.438 142.438 142.438  0 0 0 0 0 0 
