 TimeStamp manip.manip_measure_out_port manip.force_transmission_out_port tt.outport_grip.position.x tt.outport_grip.position.y tt.outport_grip.position.z tt.outport_grip.orientation.x tt.outport_grip.orientation.y tt.outport_grip.orientation.z tt.outport_grip.orientation.w jr3.ForceTorqueOutputPort.forces.0 jr3.ForceTorqueOutputPort.forces.1 jr3.ForceTorqueOutputPort.forces.2 jr3.ForceTorqueOutputPort.torques.0 jr3.ForceTorqueOutputPort.torques.1 jr3.ForceTorqueOutputPort.torques.2
 0.270215 0.0102698 14.2634   -0.121721 -0.0747431 0.230355  -0.276188 0.473054 -0.81312 0.196916   0 -0.508301 -0.986938  -0.469666 0 -0.0615234 
 0.280209 0.0102698 14.2634   -0.121721 -0.0747431 0.230355  -0.276188 0.473054 -0.81312 0.196916   0.20813 -0.317688 -0.422974  -0.197754 -0.22467 0.0205078 
 0.290211 0.0102698 14.2634   -0.121721 -0.0747431 0.230355  -0.276188 0.473054 -0.81312 0.196916   0.359497 -0.232971 -0.469971  -0.098877 -0.22467 0.0205078 
 0.300227 0.0102698 14.2634   -0.121721 -0.0747431 0.230355  -0.276188 0.473054 -0.81312 0.196916   0.20813 -0.317688 -0.610962  -0.0741577 -0.124817 0.0205078 
 0.310212 0.0102698 14.2634   -0.121721 -0.0747431 0.230355  -0.276188 0.473054 -0.81312 0.196916   0.20813 -0.402405 -0.610962  -0.173035 -0.124817 0.0205078 
 0.320207 0.0102698 14.2634   -0.121721 -0.0747431 0.230355  -0.276188 0.473054 -0.81312 0.196916   0.0567627 -0.508301 -0.422974  -0.271912 -0.0998535 -0.0615234 
 0.330206 0.00906288 15.4409   -0.114451 -0.0547345 0.232599  -0.299309 0.451574 -0.819194 0.188193   0.227051 -0.487122 -0.422974  -0.395508 -0.199707 -0.143555 
 0.340211 0.00906288 15.4409   -0.114451 -0.0547345 0.232599  -0.299309 0.451574 -0.819194 0.188193   0.227051 -0.571838 -0.0469971  -0.395508 -0.199707 -0.143555 
 0.350207 0.00906288 15.4409   -0.114451 -0.0547345 0.232599  -0.299309 0.451574 -0.819194 0.188193   0.359497 -0.487122 0.516968  -0.222473 -0.424377 -0.0410156 
 0.360212 0.00906288 15.4409   -0.114451 -0.0547345 0.232599  -0.299309 0.451574 -0.819194 0.188193   0.586548 -0.550659 0.281982  -0.0494385 -0.524231 0.0410156 
 0.370213 0.00906288 15.4409   -0.114451 -0.0547345 0.232599  -0.299309 0.451574 -0.819194 0.188193   0.737915 -0.465942 0.845947  -0.098877 -0.823792 -0.0410156 
 0.380217 0.00906288 15.4409   -0.114451 -0.0547345 0.232599  -0.299309 0.451574 -0.819194 0.188193   0.813599 -0.614197 1.22192  -0.148315 -1.12335 -0.0410156 
 0.390213 0.00906288 15.4409   -0.114451 -0.0547345 0.232599  -0.299309 0.451574 -0.819194 0.188193   0.889282 -0.698914 1.5979  -0.247192 -1.22321 0.0410156 
 0.400209 0.00906288 15.4409   -0.114451 -0.0547345 0.232599  -0.299309 0.451574 -0.819194 0.188193   0.813599 -0.614197 1.40991  -0.247192 -1.22321 -0.123047 
 0.410214 0.00906288 15.4409   -0.114451 -0.0547345 0.232599  -0.299309 0.451574 -0.819194 0.188193   0.813599 -0.698914 1.78589  -0.222473 -1.0235 0.0410156 
 0.420173 0.00906288 15.4409   -0.114451 -0.0547345 0.232599  -0.299309 0.451574 -0.819194 0.188193   0.662231 -0.80481 1.22192  -0.197754 -0.923645 -0.0410156 
 0.430191 0.0090409 15.9196   -0.110159 -0.0632779 0.23202  -0.313559 0.470724 -0.803684 0.18491   0.813599 -0.698914 1.36292  -0.0494385 -1.14832 -0.0410156 
 0.440236 0.0090409 15.9196   -0.110159 -0.0632779 0.23202  -0.313559 0.470724 -0.803684 0.18491   1.11633 -0.593018 1.73889  0.0247192 -1.34802 0.0410156 
 0.450228 0.0090409 15.9196   -0.110159 -0.0632779 0.23202  -0.313559 0.470724 -0.803684 0.18491   1.19202 -0.508301 1.17493  0.123596 -1.44788 0.0410156 
 0.460216 0.0090409 15.9196   -0.110159 -0.0632779 0.23202  -0.313559 0.470724 -0.803684 0.18491   1.11633 -0.508301 1.5509  0.0247192 -1.24817 0.0410156 
 0.470205 0.0090409 15.9196   -0.110159 -0.0632779 0.23202  -0.313559 0.470724 -0.803684 0.18491   1.04065 -0.78363 1.5509  -0.148315 -1.22321 0.0410156 
 0.480208 0.0090409 15.9196   -0.110159 -0.0632779 0.23202  -0.313559 0.470724 -0.803684 0.18491   0.756836 -0.974243 1.40991  -0.296631 -0.923645 0.205078 
 0.490219 0.0090409 15.9196   -0.110159 -0.0632779 0.23202  -0.313559 0.470724 -0.803684 0.18491   0.605469 -0.910706 1.22192  -0.444946 -0.599121 0.205078 
 0.500226 0.0090409 15.9196   -0.110159 -0.0632779 0.23202  -0.313559 0.470724 -0.803684 0.18491   0.529785 -0.995422 1.03394  -0.420227 -0.399414 0.123047 
 0.510179 0.0090409 15.9196   -0.110159 -0.0632779 0.23202  -0.313559 0.470724 -0.803684 0.18491   0.454102 -0.910706 1.22192  -0.098877 -0.324524 0.205078 
 0.520239 0.0090409 15.9196   -0.110159 -0.0632779 0.23202  -0.313559 0.470724 -0.803684 0.18491   0.435181 -0.741272 1.22192  -0.098877 -0.324524 0.287109 
 0.530236 0.00965541 14.7036   -0.118963 -0.0614129 0.23298  -0.300116 0.46164 -0.811265 0.196643   0.359497 -0.825989 1.03394  -0.098877 -0.22467 0.287109 
 0.540198 0.00965541 14.7036   -0.118963 -0.0614129 0.23298  -0.300116 0.46164 -0.811265 0.196643   0.0567627 -0.677734 1.08093  -0.148315 -0.0249634 0.287109 
 0.550245 0.00965541 14.7036   -0.118963 -0.0614129 0.23298  -0.300116 0.46164 -0.811265 0.196643   -0.170288 -0.78363 1.08093  -0.296631 0.299561 0.102539 
 0.56021 0.00965541 14.7036   -0.118963 -0.0614129 0.23298  -0.300116 0.46164 -0.811265 0.196643   -0.378418 -0.78363 1.12793  -0.271912 0.599121 0.18457 
 0.570205 0.00965541 14.7036   -0.118963 -0.0614129 0.23298  -0.300116 0.46164 -0.811265 0.196643   -0.62439 -0.720093 1.87988  -0.32135 0.798828 0.18457 
 0.580205 0.00965541 14.7036   -0.118963 -0.0614129 0.23298  -0.300116 0.46164 -0.811265 0.196643   -0.700073 -0.635376 1.50391  -0.296631 0.998535 0.102539 
 0.590206 0.00965541 14.7036   -0.118963 -0.0614129 0.23298  -0.300116 0.46164 -0.811265 0.196643   -0.62439 -0.635376 2.25586  -0.32135 0.898682 0.205078 
 0.600264 0.00965541 14.7036   -0.118963 -0.0614129 0.23298  -0.300116 0.46164 -0.811265 0.196643   -0.605469 -0.889526 2.25586  -0.543823 0.723938 0.287109 
 0.610212 0.00965541 14.7036   -0.118963 -0.0614129 0.23298  -0.300116 0.46164 -0.811265 0.196643   -0.510864 -1.14368 2.63184  -0.692139 0.524231 0.205078 
 0.620208 0.00965541 14.7036   -0.118963 -0.0614129 0.23298  -0.300116 0.46164 -0.811265 0.196643   -0.264893 -1.46136 2.81982  -1.01349 0.349487 0.123047 
 0.630225 0.0110913 13.3452   -0.126672 -0.0734426 0.239578  -0.291261 0.485719 -0.797944 0.206227   -0.189209 -1.46136 2.81982  -0.939331 0.249634 0.0410156 
 0.640216 0.0110913 13.3452   -0.126672 -0.0734426 0.239578  -0.291261 0.485719 -0.797944 0.206227   -0.0378418 -1.5249 3.00781  -1.06293 -0.0499268 0.0410156 
 0.650231 0.0110913 13.3452   -0.126672 -0.0734426 0.239578  -0.291261 0.485719 -0.797944 0.206227   0.113525 -1.5249 3.1958  -0.914612 -0.249634 -0.0410156 
 0.660211 0.0110913 13.3452   -0.126672 -0.0734426 0.239578  -0.291261 0.485719 -0.797944 0.206227   0.321655 -1.41901 3.33679  -0.741577 -0.474304 0.0410156 
 0.670211 0.0110913 13.3452   -0.126672 -0.0734426 0.239578  -0.291261 0.485719 -0.797944 0.206227   0.473022 -1.41901 3.1488  -0.766296 -0.674011 0.123047 
 0.680211 0.0110913 13.3452   -0.126672 -0.0734426 0.239578  -0.291261 0.485719 -0.797944 0.206227   0.473022 -1.31311 3.10181  -0.494385 -0.798828 0.0410156 
 0.690206 0.0110913 13.3452   -0.126672 -0.0734426 0.239578  -0.291261 0.485719 -0.797944 0.206227   0.454102 -1.31311 3.10181  -0.271912 -0.624084 -0.0410156 
 0.700228 0.0110913 13.3452   -0.126672 -0.0734426 0.239578  -0.291261 0.485719 -0.797944 0.206227   0.302734 -1.33429 3.1488  -0.32135 -0.424377 -0.0410156 
 0.710231 0.0110913 13.3452   -0.126672 -0.0734426 0.239578  -0.291261 0.485719 -0.797944 0.206227   -0.0756836 -1.44019 3.33679  -0.395508 -0.0998535 -0.123047 
 0.720205 0.0110913 13.3452   -0.126672 -0.0734426 0.239578  -0.291261 0.485719 -0.797944 0.206227   -0.302734 -1.44019 3.75977  -0.444946 0.199707 -0.205078 
 0.730216 0.0140707 10.9804   -0.147302 -0.0952783 0.244306  0.313229 -0.547363 -0.588198 -0.506265   -0.359497 -1.46136 3.1958  -0.519104 0.399414 -0.205078 
 0.740207 0.0140707 10.9804   -0.147302 -0.0952783 0.244306  0.313229 -0.547363 -0.588198 -0.506265   -0.227051 -1.44019 3.38379  -0.617981 0.324524 -0.287109 
 0.750209 0.0140707 10.9804   -0.147302 -0.0952783 0.244306  0.313229 -0.547363 -0.588198 -0.506265   -0.151367 -1.44019 3.38379  -0.519104 0.299561 -0.287109 
 0.760211 0.0140707 10.9804   -0.147302 -0.0952783 0.244306  0.313229 -0.547363 -0.588198 -0.506265   -0.227051 -1.44019 3.57178  -0.469666 0.0998535 -0.369141 
 0.770204 0.0140707 10.9804   -0.147302 -0.0952783 0.244306  0.313229 -0.547363 -0.588198 -0.506265   0 -1.44019 3.52478  -0.469666 -0.199707 -0.369141 
 0.780231 0.0140707 10.9804   -0.147302 -0.0952783 0.244306  0.313229 -0.547363 -0.588198 -0.506265   -0.132446 -1.67316 3.33679  -0.519104 -0.199707 -0.369141 
 0.790215 0.0140707 10.9804   -0.147302 -0.0952783 0.244306  0.313229 -0.547363 -0.588198 -0.506265   0.0189209 -1.67316 3.33679  -0.420227 -0.299561 -0.369141 
 0.800229 0.0140707 10.9804   -0.147302 -0.0952783 0.244306  0.313229 -0.547363 -0.588198 -0.506265   -0.0756836 -1.50372 3.71277  -0.444946 -0.399414 -0.369141 
 0.810221 0.0140707 10.9804   -0.147302 -0.0952783 0.244306  0.313229 -0.547363 -0.588198 -0.506265   -0.0756836 -1.67316 3.52478  -0.247192 -0.424377 -0.287109 
 0.820215 0.0140707 10.9804   -0.147302 -0.0952783 0.244306  0.313229 -0.547363 -0.588198 -0.506265   -0.0756836 -1.41901 4.08875  -0.173035 -0.649048 -0.287109 
 0.830213 0.017405 9.25757   -0.168673 -0.121703 0.244026  -0.251897 0.497767 -0.792048 0.247861   0.0567627 -1.31311 3.66577  -0.098877 -0.948608 -0.369141 
 0.840215 0.017405 9.25757   -0.168673 -0.121703 0.244026  -0.251897 0.497767 -0.792048 0.247861   -0.0189209 -1.39783 4.22974  0 -0.848755 -0.369141 
 0.850207 0.017405 9.25757   -0.168673 -0.121703 0.244026  -0.251897 0.497767 -0.792048 0.247861   -0.151367 -1.50372 3.90076  -0.148315 -0.549194 -0.287109 
 0.860208 0.017405 9.25757   -0.168673 -0.121703 0.244026  -0.251897 0.497767 -0.792048 0.247861   -0.378418 -1.5249 4.65271  -0.222473 -0.424377 -0.369141 
 0.870212 0.017405 9.25757   -0.168673 -0.121703 0.244026  -0.251897 0.497767 -0.792048 0.247861   -0.378418 -1.41901 4.27673  -0.222473 -0.324524 -0.369141 
 0.880215 0.017405 9.25757   -0.168673 -0.121703 0.244026  -0.251897 0.497767 -0.792048 0.247861   -0.529785 -1.60962 4.65271  -0.197754 -0.124817 -0.369141 
 0.890234 0.017405 9.25757   -0.168673 -0.121703 0.244026  -0.251897 0.497767 -0.792048 0.247861   -0.454102 -1.60962 4.08875  -0.420227 -0.22467 -0.369141 
 0.90025 0.017405 9.25757   -0.168673 -0.121703 0.244026  -0.251897 0.497767 -0.792048 0.247861   -0.397339 -1.41901 5.02869  -0.0247192 -0.349487 -0.266602 
 0.910215 0.017405 9.25757   -0.168673 -0.121703 0.244026  -0.251897 0.497767 -0.792048 0.247861   -0.245972 -1.50372 4.65271  0.148315 -0.574158 -0.205078 
 0.920232 0.017405 9.25757   -0.168673 -0.121703 0.244026  -0.251897 0.497767 -0.792048 0.247861   -0.245972 -1.33429 4.8407  0.0494385 -0.349487 -0.18457 
 0.930204 0.0200185 8.07963   -0.186986 -0.134182 0.247036  -0.232325 0.506533 -0.791095 0.252226   -0.529785 -1.69434 4.27673  0 -0.14978 -0.287109 
 0.940211 0.0200185 8.07963   -0.186986 -0.134182 0.247036  -0.232325 0.506533 -0.791095 0.252226   -0.397339 -1.5249 4.46472  0.0247192 -0.0499268 -0.123047 
 0.950235 0.0200185 8.07963   -0.186986 -0.134182 0.247036  -0.232325 0.506533 -0.791095 0.252226   -0.378418 -1.69434 4.8407  -0.173035 -0.0499268 -0.205078 
 0.96021 0.0200185 8.07963   -0.186986 -0.134182 0.247036  -0.232325 0.506533 -0.791095 0.252226   -0.378418 -1.60962 4.46472  -0.173035 -0.0249634 -0.123047 
 0.970235 0.0200185 8.07963   -0.186986 -0.134182 0.247036  -0.232325 0.506533 -0.791095 0.252226   -0.227051 -1.67316 4.27673  -0.098877 -0.14978 -0.287109 
 0.980206 0.0200185 8.07963   -0.186986 -0.134182 0.247036  -0.232325 0.506533 -0.791095 0.252226   -0.454102 -1.60962 4.8407  -0.0741577 0.0499268 -0.205078 
 0.99021 0.0200185 8.07963   -0.186986 -0.134182 0.247036  -0.232325 0.506533 -0.791095 0.252226   -0.454102 -1.60962 4.46472  -0.0247192 0.249634 -0.123047 
 1.00022 0.0200185 8.07963   -0.186986 -0.134182 0.247036  -0.232325 0.506533 -0.791095 0.252226   -0.454102 -1.5249 4.69971  -0.247192 0.174744 -0.205078 
 1.01021 0.0200185 8.07963   -0.186986 -0.134182 0.247036  -0.232325 0.506533 -0.791095 0.252226   -0.454102 -1.71552 4.8877  -0.222473 0.374451 -0.205078 
 1.0202 0.0200185 8.07963   -0.186986 -0.134182 0.247036  -0.232325 0.506533 -0.791095 0.252226   -0.227051 -1.69434 4.46472  -0.247192 0.0748901 -0.123047 
 1.03021 0.0220424 7.39932   -0.201273 -0.147582 0.243959  -0.313721 0.487424 0.599084 0.552354   -0.20813 -1.86377 4.27673  -0.395508 -0.22467 -0.205078 
 1.04023 0.0220424 7.39932   -0.201273 -0.147582 0.243959  -0.313721 0.487424 0.599084 0.552354   -0.132446 -1.86377 4.65271  -0.395508 -0.22467 -0.205078 
 1.05023 0.0220424 7.39932   -0.201273 -0.147582 0.243959  -0.313721 0.487424 0.599084 0.552354   -0.20813 -1.86377 4.27673  -0.395508 -0.22467 -0.123047 
 1.06021 0.0220424 7.39932   -0.201273 -0.147582 0.243959  -0.313721 0.487424 0.599084 0.552354   -0.132446 -1.92731 4.65271  -0.395508 -0.22467 -0.205078 
 1.07024 0.0220424 7.39932   -0.201273 -0.147582 0.243959  -0.313721 0.487424 0.599084 0.552354   -0.0756836 -1.75787 4.65271  -0.197754 -0.22467 -0.123047 
 1.08021 0.0220424 7.39932   -0.201273 -0.147582 0.243959  -0.313721 0.487424 0.599084 0.552354   -0.151367 -1.86377 4.65271  -0.197754 -0.124817 -0.123047 
 1.09021 0.0220424 7.39932   -0.201273 -0.147582 0.243959  -0.313721 0.487424 0.599084 0.552354   -0.302734 -1.69434 4.46472  -0.197754 -0.124817 -0.123047 
 1.10021 0.0220424 7.39932   -0.201273 -0.147582 0.243959  -0.313721 0.487424 0.599084 0.552354   -0.454102 -1.86377 4.46472  -0.173035 0.0499268 -0.123047 
 1.11022 0.0220424 7.39932   -0.201273 -0.147582 0.243959  -0.313721 0.487424 0.599084 0.552354   -0.227051 -1.77905 4.8407  0 -0.0499268 -0.0410156 
 1.12023 0.0220424 7.39932   -0.201273 -0.147582 0.243959  -0.313721 0.487424 0.599084 0.552354   -0.0946045 -1.67316 4.41772  0.197754 -0.174744 -0.123047 
 1.13023 0.0242373 6.74522   -0.216177 -0.16031 0.242944  -0.198318 0.536733 -0.777042 0.262286   0.132446 -1.48254 4.41772  0.247192 -0.574158 -0.0205078 
 1.14021 0.0242373 6.74522   -0.216177 -0.16031 0.242944  -0.198318 0.536733 -0.777042 0.262286   0.20813 -1.39783 4.41772  0.444946 -0.499268 -0.0205078 
