 TimeStamp manip.manip_measure_out_port manip.force_transmission_out_port manip.q_hand_out_port.0 manip.q_hand_out_port.1 manip.q_hand_out_port.2 manip.q_hand_out_port.3 tt.outport_grip.position.x tt.outport_grip.position.y tt.outport_grip.position.z tt.outport_grip.orientation.x tt.outport_grip.orientation.y tt.outport_grip.orientation.z tt.outport_grip.orientation.w jr3.ForceTorqueOutputPort.forces.0 jr3.ForceTorqueOutputPort.forces.1 jr3.ForceTorqueOutputPort.forces.2 jr3.ForceTorqueOutputPort.torques.0 jr3.ForceTorqueOutputPort.torques.1 jr3.ForceTorqueOutputPort.torques.2 test.cart_pose_loop_out_port.p.X test.cart_pose_loop_out_port.p.Y test.cart_pose_loop_out_port.p.Z test.cart_pose_loop_out_port.M.X_x test.cart_pose_loop_out_port.M.X_y test.cart_pose_loop_out_port.M.X_z test.cart_pose_loop_out_port.M.Y_x test.cart_pose_loop_out_port.M.Y_y test.cart_pose_loop_out_port.M.Y_z test.cart_pose_loop_out_port.M.Z_x test.cart_pose_loop_out_port.M.Z_y test.cart_pose_loop_out_port.M.Z_z test.tcp_pose_out_port.p.X test.tcp_pose_out_port.p.Y test.tcp_pose_out_port.p.Z test.tcp_pose_out_port.M.X_x test.tcp_pose_out_port.M.X_y test.tcp_pose_out_port.M.X_z test.tcp_pose_out_port.M.Y_x test.tcp_pose_out_port.M.Y_y test.tcp_pose_out_port.M.Y_z test.tcp_pose_out_port.M.Z_x test.tcp_pose_out_port.M.Z_y test.tcp_pose_out_port.M.Z_z stiff.cart_stiffdamp_out_port.stiffness.0 stiff.cart_stiffdamp_out_port.stiffness.1 stiff.cart_stiffdamp_out_port.stiffness.2 stiff.cart_stiffdamp_out_port.stiffness.3 stiff.cart_stiffdamp_out_port.stiffness.4 stiff.cart_stiffdamp_out_port.stiffness.5 stiff.cart_stiffdamp_out_port.damping.0 stiff.cart_stiffdamp_out_port.damping.1 stiff.cart_stiffdamp_out_port.damping.2 stiff.cart_stiffdamp_out_port.damping.3 stiff.cart_stiffdamp_out_port.damping.4 stiff.cart_stiffdamp_out_port.damping.5 lwr.current_joint_values.angles.0 lwr.current_joint_values.angles.1 lwr.current_joint_values.angles.2 lwr.current_joint_values.angles.3 lwr.current_joint_values.angles.4 lwr.current_joint_values.angles.5 lwr.current_joint_values.angles.6
 0.112667 0.00140953 0.382585  28.9484 10.1674 -23.4552 18.8886   0.391298 -0.435903 -0.053946  -0.940713 -0.175951 0.289864 -0.0088753   -2.28943 0.953064 -1.31592  -0.0741577 2.12189 0.0615234   -0.494409 -0.0361648 0.486704  0.613166 0.626029 -0.481783 0.551274 -0.775931 -0.306639 -0.565796 -0.0775736 -0.820888   -0.614386 -0.0526143 0.312634  0.613166 0.626029 -0.481783 0.551274 -0.775931 -0.306639 -0.565796 -0.0775736 -0.820888   10 10 10 10 10 10  0 0 0 0 0 0   2.8173 -0.627234 0.873076 0.983131 -0.350149 -1.22911 -0.344021 
 0.122643 0.00442292 0.392584  29.0156 10.232 -23.4634 18.981   0.399887 -0.416299 -0.0677476  -0.110204 0.141724 -0.245151 0.952717   -2.21375 1.05896 -1.17493  -0.0741577 2.047 0.0615234   -0.494409 -0.0361648 0.486704  0.613166 0.626029 -0.481783 0.551274 -0.775931 -0.306639 -0.565796 -0.0775736 -0.820888   -0.614386 -0.0526143 0.312634  0.613166 0.626029 -0.481783 0.551274 -0.775931 -0.306639 -0.565796 -0.0775736 -0.820888   10 10 10 10 10 10  0 0 0 0 0 0   2.8173 -0.627234 0.873076 0.983131 -0.350149 -1.22911 -0.344021 
 0.132602 0.00442292 0.392584  29.0156 10.232 -23.4634 18.981   0.399887 -0.416299 -0.0677476  -0.110204 0.141724 -0.245151 0.952717   -2.21375 0.974243 -1.17493  0.0494385 2.22174 -0.102539   -0.494409 -0.0361648 0.486704  0.613166 0.626029 -0.481783 0.551274 -0.775931 -0.306639 -0.565796 -0.0775736 -0.820888   -0.614386 -0.0526143 0.312634  0.613166 0.626029 -0.481783 0.551274 -0.775931 -0.306639 -0.565796 -0.0775736 -0.820888   10 10 10 10 10 10  0 0 0 0 0 0   2.8173 -0.627234 0.873076 0.983131 -0.350149 -1.22911 -0.344021 
 0.142642 0.00442292 0.392584  29.0156 10.232 -23.4634 18.981   0.399887 -0.416299 -0.0677476  -0.110204 0.141724 -0.245151 0.952717   -2.21375 0.889526 -1.17493  0.123596 2.12189 -0.102539   -0.494409 -0.0361648 0.486704  0.613166 0.626029 -0.481783 0.551274 -0.775931 -0.306639 -0.565796 -0.0775736 -0.820888   -0.614386 -0.0526143 0.312634  0.613166 0.626029 -0.481783 0.551274 -0.775931 -0.306639 -0.565796 -0.0775736 -0.820888   10 10 10 10 10 10  0 0 0 0 0 0   2.8173 -0.627234 0.873076 0.983131 -0.350149 -1.22911 -0.344021 
 0.15265 0.00442292 0.392584  29.0156 10.232 -23.4634 18.981   0.399887 -0.416299 -0.0677476  -0.110204 0.141724 -0.245151 0.952717   -2.28943 0.974243 -1.5509  0.247192 2.29663 -0.102539   -0.494409 -0.0361648 0.486704  0.613166 0.626029 -0.481783 0.551274 -0.775931 -0.306639 -0.565796 -0.0775736 -0.820888   -0.614386 -0.0526143 0.312634  0.613166 0.626029 -0.481783 0.551274 -0.775931 -0.306639 -0.565796 -0.0775736 -0.820888   10 10 10 10 10 10  0 0 0 0 0 0   2.8173 -0.627234 0.873076 0.983131 -0.350149 -1.22911 -0.344021 
 0.16265 0.00442292 0.392584  29.0156 10.232 -23.4634 18.981   0.399887 -0.416299 -0.0677476  -0.110204 0.141724 -0.245151 0.952717   -2.21375 0.889526 -1.36292  0.123596 2.12189 0.0615234   -0.494409 -0.0361648 0.486704  0.613166 0.626029 -0.481783 0.551274 -0.775931 -0.306639 -0.565796 -0.0775736 -0.820888   -0.614386 -0.0526143 0.312634  0.613166 0.626029 -0.481783 0.551274 -0.775931 -0.306639 -0.565796 -0.0775736 -0.820888   10 10 10 10 10 10  0 0 0 0 0 0   2.8173 -0.627234 0.873076 0.983131 -0.350149 -1.22911 -0.344021 
 0.172645 0.00442292 0.392584  29.0156 10.232 -23.4634 18.981   0.399887 -0.416299 -0.0677476  -0.110204 0.141724 -0.245151 0.952717   -2.23267 0.974243 -1.36292  0.247192 2.19678 -0.0205078   -0.494408 -0.0361649 0.486703  0.613166 0.62603 -0.481782 0.551274 -0.775931 -0.306639 -0.565795 -0.0775736 -0.820889   -0.614385 -0.0526144 0.312634  0.613166 0.62603 -0.481782 0.551274 -0.775931 -0.306639 -0.565795 -0.0775736 -0.820889   10 10 10 10 10 10  0 0 0 0 0 0   2.8173 -0.627234 0.873076 0.983131 -0.350149 -1.22911 -0.344021 
 0.182638 0.00442292 0.392584  29.0156 10.232 -23.4634 18.981   0.399887 -0.416299 -0.0677476  -0.110204 0.141724 -0.245151 0.952717   -2.13806 0.974243 -1.36292  0.148315 2.22174 -0.102539   -0.494408 -0.0361649 0.486703  0.613166 0.62603 -0.481782 0.551274 -0.775931 -0.306639 -0.565795 -0.0775736 -0.820889   -0.614385 -0.0526144 0.312634  0.613166 0.62603 -0.481782 0.551274 -0.775931 -0.306639 -0.565795 -0.0775736 -0.820889   10 10 10 10 10 10  0 0 0 0 0 0   2.8173 -0.627234 0.873076 0.983131 -0.350149 -1.22911 -0.344021 
 0.192645 0.00442292 0.392584  29.0156 10.232 -23.4634 18.981   0.399887 -0.416299 -0.0677476  -0.110204 0.141724 -0.245151 0.952717   -2.21375 1.03778 -1.17493  0.148315 2.12189 -0.102539   -0.494408 -0.0361649 0.486703  0.613166 0.62603 -0.481782 0.551274 -0.775931 -0.306639 -0.565795 -0.0775736 -0.820889   -0.614385 -0.0526144 0.312634  0.613166 0.62603 -0.481782 0.551274 -0.775931 -0.306639 -0.565795 -0.0775736 -0.820889   10 10 10 10 10 10  0 0 0 0 0 0   2.8173 -0.627234 0.873076 0.983131 -0.350149 -1.22911 -0.344021 
 0.202644 0.00442292 0.392584  29.0156 10.232 -23.4634 18.981   0.399887 -0.416299 -0.0677476  -0.110204 0.141724 -0.245151 0.952717   -2.21375 0.953064 -0.939941  -0.247192 2.2467 -0.102539   -0.494409 -0.0361648 0.486704  0.613166 0.626029 -0.481783 0.551274 -0.775931 -0.306639 -0.565796 -0.0775736 -0.820888   -0.614386 -0.0526143 0.312634  0.613166 0.626029 -0.481783 0.551274 -0.775931 -0.306639 -0.565796 -0.0775736 -0.820888   10 10 10 10 10 10  0 0 0 0 0 0   2.8173 -0.627234 0.873076 0.983131 -0.350149 -1.22911 -0.344021 
